year,induced_legal_death_per_100k,induced_illegal_death_per_100k,unknown,total
1973,25,19,3,47
1974,26,6,1,33
1975,29,4,1,34
1976,11,2,1,14
1977,17,4,0,21
1978,9,7,0,16
1979,22,0,0,22
1980,9,1,2,12
1981,8,1,0,9
1982,11,1,0,12
1983,11,1,0,12
1984,12,0,0,12
1985,11,1,1,13
1986,11,0,2,13
1987,7,2,0,9
1988,16,0,0,16
1989,12,1,0,13
1990,9,0,0,9
1991,11,1,0,12
1992,10,0,0,10
1993,6,1,2,9
1994,10,2,0,12
1995,4,0,0,4
1996,9,0,0,9
1997,7,0,0,7
1998,9,0,0,9
1999,4,0,0,4
2000,11,0,0,11
2001,7,1,0,8
2002,10,0,0,10
2003,10,0,0,10
2004,7,1,0,8
2005,7,0,0,7
2006,7,0,0,7
2007,6,0,0,6
2008,12,0,0,12
2009,8,0,0,8
2010,10,0,0,10
2011,2,0,0,2
2012,4,0,0,4
2013,4,0,0,4
2014,6,0,0,6
2015,2,0,1,3
2016,6,1,1,8
2017,2,0,0,2
2018,2,0,0,2
